
> rest-express@1.0.0 dev:itk
> npm run dev:setup && DICOM_REG_CONVERTER=/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/build/dicom-reg-converter/dicom_reg_to_h5 FUSEBOX_PYTHON=/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/.fusebox_env/bin/python PORT=3000 NODE_ENV=development tsx watch server/index.ts


> rest-express@1.0.0 dev:setup
> node -e "console.log('🔧 Checking Fusebox setup...'); const fs = require('fs'); const path = require('path'); const helperPath = path.join(__dirname, 'build/dicom-reg-converter/dicom_reg_to_h5'); const pythonPath = path.join(__dirname, '.fusebox_env/bin/python'); if (!fs.existsSync(helperPath)) { console.error('❌ DICOM helper not found at:', helperPath); console.error('Run: cmake --build build/dicom-reg-converter'); process.exit(1); } if (!fs.existsSync(pythonPath)) { console.error('❌ Python venv not found at:', pythonPath); console.error('Run: python -m venv .fusebox_env && source .fusebox_env/bin/activate && pip install -e .'); process.exit(1); } console.log('✅ Fusebox setup verified'); console.log('🐟 DICOM helper:', helperPath); console.log('🐍 Python interpreter:', pythonPath);"

🔧 Checking Fusebox setup...
✅ Fusebox setup verified
🐟 DICOM helper: build/dicom-reg-converter/dicom_reg_to_h5
🐍 Python interpreter: .fusebox_env/bin/python
[2025-09-18T15:26:45.216Z] [server] INFO: 🚀 Server running on port 3000
2025-09-18T15:26:45.480Z - GET /
2025-09-18T15:26:45.490Z - GET /enhanced-viewer
2025-09-18T15:26:45.541Z - GET /@vite/client
2025-09-18T15:26:45.552Z - GET /src/main.tsx
2025-09-18T15:26:45.571Z - GET /@react-refresh
2025-09-18T15:26:45.684Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/vite/dist/client/env.mjs
2025-09-18T15:26:45.686Z - GET /.well-known/appspecific/com.chrome.devtools.json
2025-09-18T15:26:45.814Z - GET /src/App.tsx
2025-09-18T15:26:45.814Z - GET /src/index.css
2025-09-18T15:26:45.946Z - GET /src/lib/queryClient.ts
2025-09-18T15:26:45.946Z - GET /src/components/ui/toaster.tsx
2025-09-18T15:26:45.946Z - GET /src/components/ui/tooltip.tsx
2025-09-18T15:26:46.026Z - GET /src/pages/viewer.tsx
2025-09-18T15:26:46.031Z - GET /src/pages/patient-manager.tsx
2025-09-18T15:26:46.633Z - GET /src/pages/fusion-test.tsx
2025-09-18T15:26:46.633Z - GET /src/pages/not-found.tsx
2025-09-18T15:26:46.633Z - GET /src/components/dicom/viewer-interface.tsx
2025-09-18T15:26:46.640Z - GET /src/components/ui/button.tsx
2025-09-18T15:26:46.640Z - GET /src/components/ui/input.tsx
2025-09-18T15:26:46.640Z - GET /src/components/ui/dialog.tsx
2025-09-18T15:26:46.640Z - GET /src/components/ui/label.tsx
2025-09-18T15:26:46.640Z - GET /src/hooks/use-toast.ts
2025-09-18T15:26:46.730Z - GET /src/lib/log.ts
2025-09-18T15:26:46.731Z - GET /src/components/ui/checkbox.tsx
2025-09-18T15:26:46.731Z - GET /src/components/ui/toast.tsx
2025-09-18T15:26:46.731Z - GET /src/lib/utils.ts
2025-09-18T15:26:46.733Z - GET /src/components/ui/card.tsx
2025-09-18T15:26:46.740Z - GET /src/components/ui/select.tsx
2025-09-18T15:26:46.744Z - GET /src/components/ui/tabs.tsx
2025-09-18T15:26:46.755Z - GET /src/components/ui/badge.tsx
2025-09-18T15:26:46.755Z - GET /src/components/ui/form.tsx
2025-09-18T15:26:46.755Z - GET /src/components/ui/accordion.tsx
2025-09-18T15:26:46.755Z - GET /src/components/patient-manager/patient-card.tsx
2025-09-18T15:26:46.755Z - GET /src/components/dicom/dicom-uploader.tsx
2025-09-18T15:26:46.756Z - GET /src/hooks/use-parsing-session.ts
2025-09-18T15:26:46.815Z - GET /src/components/dicom/series-selector.tsx
2025-09-18T15:26:46.815Z - GET /src/components/dicom/viewer-toolbar.tsx
2025-09-18T15:26:46.815Z - GET /src/components/dicom/working-viewer.tsx
2025-09-18T15:26:46.815Z - GET /src/components/dicom/contour-edit-toolbar.tsx
2025-09-18T15:26:46.815Z - GET /src/lib/undo-system.ts
2025-09-18T15:26:46.815Z - GET /src/components/dicom/margin-toolbar.tsx
2025-09-18T15:26:46.994Z - GET /src/lib/dicom-utils.ts
2025-09-18T15:26:46.994Z - GET /src/components/dicom/error-modal.tsx
2025-09-18T15:26:47.006Z - GET /src/components/dicom/boolean-operations-toolbar-new.tsx
2025-09-18T15:26:47.006Z - GET /src/lib/cornerstone-config.ts
2025-09-18T15:26:47.006Z - GET /src/components/dicom/loading-progress.tsx
2025-09-18T15:26:47.006Z - GET /src/components/patient-manager/metadata-edit-dialog.tsx
2025-09-18T15:26:47.006Z - GET /src/components/patient-manager/dicom-thumbnail.tsx
2025-09-18T15:26:47.008Z - GET /src/components/dicom/patient-preview-card.tsx
2025-09-18T15:26:47.008Z - GET /src/components/ui/separator.tsx
2025-09-18T15:26:47.009Z - GET /src/components/ui/slider.tsx
2025-09-18T15:26:47.009Z - GET /src/components/ui/switch.tsx
2025-09-18T15:26:47.046Z - GET /src/components/ui/progress.tsx
2025-09-18T15:26:47.107Z - GET /src/components/dicom/simple-brush-tool.tsx
2025-09-18T15:26:47.107Z - GET /src/components/dicom/pen-tool-unified-v2.tsx
2025-09-18T15:26:47.107Z - GET /src/components/dicom/pen-tool.tsx
2025-09-18T15:26:47.107Z - GET /src/components/dicom/pen-tool-v2.tsx
2025-09-18T15:26:47.107Z - GET /src/components/dicom/fusion-control-panel.tsx
2025-09-18T15:26:47.107Z - GET /src/components/dicom/measurement-tool.tsx
2025-09-18T15:26:47.115Z - GET /src/components/dicom/mpr-floating.tsx
2025-09-18T15:26:47.115Z - GET /src/lib/contour-grow.ts
2025-09-18T15:26:47.119Z - GET /src/lib/contour-smooth-simple.ts
2025-09-18T15:26:47.119Z - GET /src/lib/brush-to-polygon.ts
2025-09-18T15:26:47.120Z - GET /src/hooks/use-fusion-preload.ts
2025-09-18T15:26:47.120Z - GET /src/lib/polygon-union.ts
2025-09-18T15:26:47.120Z - GET /src/lib/contour-directional-grow.ts
2025-09-18T15:26:47.120Z - GET /src/lib/contour-boolean-operations.ts
2025-09-18T15:26:47.120Z - GET /src/lib/contour-prediction.ts
2025-09-18T15:26:47.121Z - GET /src/lib/fusion-utils.ts
2025-09-18T15:26:47.121Z - GET /src/lib/simple-polygon-operations.ts
2025-09-18T15:26:47.121Z - GET /src/lib/cornerstone3d-adapter.ts
2025-09-18T15:26:47.121Z - GET /src/lib/dicom-worker-manager.ts
2025-09-18T15:26:47.121Z - GET /src/lib/dicom-spatial-helpers.ts
2025-09-18T15:26:47.121Z - GET /src/components/ui/alert-dialog.tsx
2025-09-18T15:26:47.123Z - GET /src/lib/dicom-coordinates.ts
2025-09-18T15:26:47.123Z - GET /src/lib/clipper-boolean-operations.ts
2025-09-18T15:26:47.123Z - GET /src/lib/contour-polish.ts
2025-09-18T15:26:47.123Z - GET /src/lib/smart-brush-utils.ts
2025-09-18T15:26:47.371Z - GET /src/lib/clipper-adapter.ts
2025-09-18T15:26:47.493Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/react_jsx-dev-runtime.js.map
2025-09-18T15:26:47.493Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-QCHXOAYK.js.map
2025-09-18T15:26:47.493Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-WOOG5QLI.js.map
2025-09-18T15:26:47.493Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/react-dom_client.js.map
2025-09-18T15:26:47.493Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-RPCDYKBN.js.map
2025-09-18T15:26:47.493Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/wouter.js.map
2025-09-18T15:26:47.496Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/@tanstack_react-query.js.map
2025-09-18T15:26:47.496Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-KBTYAULA.js.map
2025-09-18T15:26:47.496Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/react.js.map
2025-09-18T15:26:47.497Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/@radix-ui_react-toast.js.map
2025-09-18T15:26:47.497Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-YN3QL25T.js.map
2025-09-18T15:26:47.507Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-P6AUOPGQ.js.map
2025-09-18T15:26:47.507Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-EVLBUYTV.js.map
2025-09-18T15:26:47.508Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-R5YVGTHA.js.map
2025-09-18T15:26:47.508Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-BOL2CCOG.js.map
2025-09-18T15:26:47.508Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-DKA7LSZL.js.map
2025-09-18T15:26:47.508Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-OXZDJRWN.js.map
2025-09-18T15:26:47.509Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-UQHGR4RG.js.map
2025-09-18T15:26:47.509Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/class-variance-authority.js.map
2025-09-18T15:26:47.509Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-U7P2NEEE.js.map
2025-09-18T15:26:47.509Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/lucide-react.js.map
