
> rest-express@1.0.0 dev:itk
> npm run dev:setup && DICOM_REG_CONVERTER=/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/build/dicom-reg-converter/dicom_reg_to_h5 FUSEBOX_PYTHON=/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/sam_env/bin/python PORT=3000 NODE_ENV=development tsx watch server/index.ts


> rest-express@1.0.0 dev:setup
> node -e "console.log('🔧 Checking Fusebox setup...'); const fs = require('fs'); const path = require('path'); const helperPath = path.join(__dirname, 'build/dicom-reg-converter/dicom_reg_to_h5'); const pythonPath = path.join(__dirname, 'sam_env/bin/python'); if (!fs.existsSync(helperPath)) { console.error('❌ DICOM helper not found at:', helperPath); console.error('Run: cmake --build build/dicom-reg-converter'); process.exit(1); } if (!fs.existsSync(pythonPath)) { console.error('❌ Python venv not found at:', pythonPath); console.error('Run: python -m venv sam_env && source sam_env/bin/activate && pip install -e .'); process.exit(1); } console.log('✅ Fusebox setup verified'); console.log('🐟 DICOM helper:', helperPath); console.log('🐍 Python interpreter:', pythonPath);"

🔧 Checking Fusebox setup...
✅ Fusebox setup verified
🐟 DICOM helper: build/dicom-reg-converter/dicom_reg_to_h5
🐍 Python interpreter: sam_env/bin/python
[2025-09-30T03:38:28.925Z] [server] INFO: 🚀 Server running on port 3000
2025-09-30T03:38:29.077Z - GET /
2025-09-30T03:38:29.084Z - GET /
2025-09-30T03:38:29.105Z - GET /@vite/client
2025-09-30T03:38:29.206Z - GET /src/main.tsx
2025-09-30T03:38:29.206Z - GET /@react-refresh
2025-09-30T03:38:29.209Z - GET /
2025-09-30T03:38:29.215Z - GET /
2025-09-30T03:38:29.219Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/vite/dist/client/env.mjs
2025-09-30T03:38:29.220Z - GET /src/App.tsx
2025-09-30T03:38:29.225Z - GET /src/index.css
2025-09-30T03:38:29.234Z - GET /src/main.tsx
2025-09-30T03:38:29.244Z - GET /src/lib/queryClient.ts
2025-09-30T03:38:29.244Z - GET /src/components/ui/toaster.tsx
2025-09-30T03:38:29.244Z - GET /@vite/client
2025-09-30T03:38:29.248Z - GET /@react-refresh
2025-09-30T03:38:29.372Z - GET /src/pages/viewer.tsx
2025-09-30T03:38:29.372Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/vite/dist/client/env.mjs
2025-09-30T03:38:29.461Z - GET /src/App.tsx
2025-09-30T03:38:29.461Z - GET /src/index.css
2025-09-30T03:38:29.461Z - GET /src/pages/patient-manager.tsx
2025-09-30T03:38:29.463Z - GET /src/components/ui/tooltip.tsx
2025-09-30T03:38:29.472Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/react-dom_client.js
2025-09-30T03:38:29.664Z - GET /src/lib/queryClient.ts
2025-09-30T03:38:29.664Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/wouter.js
2025-09-30T03:38:29.664Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/react_jsx-dev-runtime.js
2025-09-30T03:38:29.852Z - GET /src/pages/fusion-test.tsx
2025-09-30T03:38:29.853Z - GET /src/components/ui/toaster.tsx
2025-09-30T03:38:29.873Z - GET /src/hooks/use-toast.ts
2025-09-30T03:38:29.873Z - GET /src/pages/fusion-test.tsx
2025-09-30T03:38:29.873Z - GET /src/components/ui/tooltip.tsx
2025-09-30T03:38:29.874Z - GET /src/pages/viewer.tsx
2025-09-30T03:38:29.874Z - GET /src/pages/patient-manager.tsx
2025-09-30T03:38:29.877Z - GET /src/pages/not-found.tsx
2025-09-30T03:38:29.877Z - GET /src/lib/utils.ts
2025-09-30T03:38:29.877Z - GET /src/components/ui/toast.tsx
2025-09-30T03:38:29.877Z - GET /src/components/ui/button.tsx
2025-09-30T03:38:29.877Z - GET /src/components/ui/card.tsx
2025-09-30T03:38:29.877Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/@tanstack_react-query.js
2025-09-30T03:38:29.877Z - GET /src/pages/not-found.tsx
2025-09-30T03:38:29.877Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-WOOG5QLI.js
2025-09-30T03:38:29.877Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-QCHXOAYK.js
2025-09-30T03:38:30.118Z - GET /src/hooks/use-toast.ts
2025-09-30T03:38:30.118Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/react.js
2025-09-30T03:38:30.118Z - GET /src/components/ui/button.tsx
2025-09-30T03:38:30.118Z - GET /src/components/ui/input.tsx
2025-09-30T03:38:30.119Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/chunk-RPCDYKBN.js
2025-09-30T03:38:30.119Z - GET /src/components/ui/toast.tsx
2025-09-30T03:38:30.204Z - GET /src/components/ui/card.tsx
2025-09-30T03:38:30.205Z - GET /src/components/ui/input.tsx
2025-09-30T03:38:30.210Z - GET /src/components/ui/select.tsx
2025-09-30T03:38:30.219Z - GET /src/components/ui/select.tsx
2025-09-30T03:38:30.219Z - GET /src/components/dicom/viewer-interface.tsx
2025-09-30T03:38:30.219Z - GET /src/components/ui/dialog.tsx
2025-09-30T03:38:30.219Z - GET /src/components/ui/label.tsx
2025-09-30T03:38:30.226Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/@radix-ui_react-tooltip.js
2025-09-30T03:38:30.226Z - GET /src/lib/log.ts
2025-09-30T03:38:30.226Z - GET /src/components/ui/checkbox.tsx
2025-09-30T03:38:30.227Z - GET /src/lib/utils.ts
2025-09-30T03:38:30.227Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/lucide-react.js
2025-09-30T03:38:30.227Z - GET /src/components/ui/label.tsx
2025-09-30T03:38:30.230Z - GET /src/components/ui/dialog.tsx
2025-09-30T03:38:30.230Z - GET /src/lib/log.ts
2025-09-30T03:38:30.230Z - GET /src/components/ui/checkbox.tsx
2025-09-30T03:38:30.230Z - GET /src/components/ui/accordion.tsx
2025-09-30T03:38:30.230Z - GET /src/components/patient-manager/patient-card.tsx
2025-09-30T03:38:30.230Z - GET /src/components/dicom/viewer-interface.tsx
2025-09-30T03:38:30.235Z - GET /src/components/ui/badge.tsx
2025-09-30T03:38:30.235Z - GET /src/components/ui/tabs.tsx
2025-09-30T03:38:30.235Z - GET /src/components/ui/form.tsx
2025-09-30T03:38:30.235Z - GET /@fs/Users/joshua/Documents/CONVERGE_REPLIT_VIEWER/node_modules/.vite/deps/@hookform_resolvers_zod.js
2025-09-30T03:38:30.236Z - GET /src/components/dicom/dicom-uploader.tsx
2025-09-30T03:38:30.236Z - GET /src/hooks/use-parsing-session.ts
2025-09-30T03:38:30.236Z - GET /src/components/ui/badge.tsx
2025-09-30T03:38:30.236Z - GET /src/components/ui/tabs.tsx
